10.229.114.134 or-kdr-baibakova4-p1 Байбакова Н.К., д. 4
10.228.111.50 or3-kdr-metalnikova5-2-p1 Петра Метальникова, д. 5/к.2
10.228.111.37 or1-kdr-metalnikova5-3-p1 Петра Метальникова, д. 5/к.3
10.228.111.11 or1-kdr-metalnikova5-2-p1 Петра Метальникова, д. 5/к.2
10.228.111.27 or2-kdr-metalnikova5-2-p1 Петра Метальникова, д. 5/к.2
10.228.111.61 or3-kdr-metalnikova5-2-p2 Петра Метальникова, д. 5/к.2
10.228.111.60 or2-kdr-metalnikova5-2-p2 Петра Метальникова, д. 5/к.2
10.228.111.36 or1-kdr-metalnikova5-2-p2 Петра Метальникова, д. 5/к.2
10.228.111.49 or2-kdr-metalnikova5-3-p1 Петра Метальникова, д. 5/к.3
10.228.111.59 or3-kdr-metalnikova5-3-p1 Петра Метальникова, д. 5/к.3
10.228.111.42 or3-kdr-metalnikova5-3-p2 Петра Метальникова, д. 5/к.3
10.228.111.35 or2-kdr-metalnikova5-3-p2 Петра Метальникова, д. 5/к.3
10.228.111.26 or1-kdr-metalnikova5-3-p2 Петра Метальникова, д. 5/к.3
10.228.111.25 or2-kdr-metalnikova5-3-p3 Петра Метальникова, д. 5/к.3
10.228.111.34 or3-kdr-metalnikova5-3-p3 Петра Метальникова, д. 5/к.3
10.228.111.24 or1-kdr-metalnikova5-3-p3 Петра Метальникова, д. 5/к.3
10.228.111.33 or-kdr-ross267-6-a-p1 Российская, д. 267/6/к.А
10.229.120.20 or2-kdr-ross79-3-2-p1 Российская, д. 79/3/к.2
10.228.111.205 or-kdr-ross267-6-v-p1 Российская, д. 267/6/к.Б
10.229.120.19 or1-kdr-ross79-3-2-p1 Российская, д. 79/3/к.2
10.229.120.21 or1-kdr-ross79-3-2-p2 Российская, д. 79/3/к.2
10.229.120.18 or2-kdr-ross79-3-2-p2 Российская, д. 79/3/к.2
10.229.120.17 or1-kdr-ross79-3-2-p3 Российская, д. 79/3/к.2
10.229.120.22 or2-kdr-ross79-3-2-p3 Российская, д. 79/3/к.2
10.229.120.23 or-kdr-ross79-3-2-p4 Российская, д. 79/3/к.2
10.229.120.16 or-kdr-ross79-3-2-p5 Российская, д. 79/3/к.2
10.229.120.90 or-kdr-ross72-6-p1 Российская, д. 72/к.6
10.229.120.91 or-kdr-ross72-6-p2 Российская, д. 72/к.6
10.229.120.24 or1-kdr-ross72-6-p3 Российская, д. 72/к.6
10.229.120.26 or2-kdr-ross72-6-p3 Российская, д. 72/к.6
10.229.120.25 or-kdr-ross72-6-p4 Российская, д. 72/к.6
10.229.120.37 or-kdr-ross74-p1 Российская, д. 74
10.229.120.65 or-kdr-ross74-p2 Российская, д. 74
10.229.120.38 or-kdr-ross74-p3 Российская, д. 74
10.229.120.42 or-kdr-ross74-p4 Российская, д. 74
10.229.120.41 or-kdr-ross74-p5 Российская, д. 74
10.229.120.40 or-kdr-ross74-p6 Российская, д. 74
10.229.120.39 or2-kdr-ross74-p4 Российская, д. 74
10.229.120.33 or-kdr-ross72-2-p2 Российская, д. 72/2
10.229.120.27 or2-kdr-ross72-4-p1 Российская, д. 72/4
10.229.120.34 or-kdr-ross72-2-p3 Российская, д. 72/2
10.229.120.28 or1-kdr-ross72-4-p1 Российская, д. 72/4
10.229.120.30 or1-kdr-ross72-4-p2 Российская, д. 72/4
10.229.120.29 or2-kdr-ross72-4-p2 Российская, д. 72/4
10.229.120.32 or2-kdr-ross72-4-p3 Российская, д. 72/4
10.229.120.31 or1-kdr-ross72-4-p3 Российская, д. 72/4
10.229.120.35 or2-kdr-ross70-6-p1 Российская, д. 70/6
10.229.120.36 or1-kdr-ross70-6-p1 Российская, д. 70/6
10.229.118.19 or-kdr-stavr165-p2 Ставропольская, д. 165
10.229.118.20 or-kdr-stavr175-p2 Ставропольская, д. 175
10.229.120.57 or-kdr-vkrug79-p2 Восточно-Кругликовская, д. 79
10.229.116.211 or-kdr-turgeneva124-p5 Тургенева, д. 124
10.229.116.132 or-kdr-turgeneva126 Тургенева, д. 126
10.229.117.178 or-kdr-selez136 Селезнева, д. 136
10.229.117.157 or-kdr-selez138-p2 Селезнева, д. 138
10.229.117.156 or-kdr-selez146-p6 Селезнева, д. 146
10.229.117.144 or-kdr-selez100-p2 Селезнева, д. 100
10.229.117.146 or-kdr-selez96-p2 Селезнева, д. 96
10.229.117.145 or-kdr-selez92-p2 Селезнева, д. 92
10.229.117.159 or-kdr-selez86-1-p3 Селезнева, д. 86/к.1
10.229.117.158 or-kdr-selez84-p2 Селезнева, д. 84
10.229.117.161 or-kdr-selez80-p2 Селезнева, д. 80
10.229.117.160 or-kdr-selez78 Селезнева, д. 78
10.229.120.63 or-kdr-ross128-p2 Российская, д. 128
10.229.117.42 or1-kdr-70lo1-6-p1 70-летия Октября, д. 1/6
10.229.117.43 or1-kdr-70lo1-6-p2 70-летия Октября, д. 1/6
10.229.117.131 or-kdr-prom43-p5 Промышленная, д. 43
10.229.114.95 or1-kdr-artush23-p1 Артюшкова В.Д., д. 23
10.229.114.96 or1-kdr-artush23-p2 Артюшкова В.Д., д. 23
10.229.120.15 or-kdr-40lp33-8-p2 40-летия Победы, д. 33/к.8
10.229.120.60 or-kdr-40lp33-4-p2 40-летия Победы, д. 33/к.4
10.229.118.22 or-kdr-stavr224-p2 Ставропольская, д. 224
10.229.118.23 or-kdr-stavr228-p2 Ставропольская, д. 228
10.228.111.125 or1-kdr-esenina94-p3 Сергея Есенина, д. 94
10.228.111.123 or1-kdr-esenina98-p2 Сергея Есенина, д. 98
10.228.111.126 or1-kdr-esenina94-p6 Сергея Есенина, д. 94
10.228.111.140 or1-kdr-esenina108-2-p1 Сергея Есенина, д. 108/к.2
10.228.111.124 or1-kdr-esenina98-p7 Сергея Есенина, д. 98
10.228.111.141 or1-kdr-esenina108-2-p2 Сергея Есенина, д. 108/к.2
10.228.111.142 or1-kdr-esenina108-2-p3 Сергея Есенина, д. 108/к.2
10.229.114.94 or1-kdr-baibakova21-p1 Байбакова Н.К., д. 21
10.229.114.98 or1-kdr-kotlyarova20-p1 Котлярова Н.С., д. 20
10.229.114.93 or1-kdr-baibakova21-p2 Байбакова Н.К., д. 21
10.229.114.92 or1-kdr-baibakova21-p3 Байбакова Н.К., д. 21
10.229.114.91 or1-kdr-baibakova21-p4 Байбакова Н.К., д. 21
10.229.114.97 or1-kdr-kotlyarova20-p2 Котлярова Н.С., д. 20
10.229.114.99 or1-kdr-kotlyarova20-p3 Котлярова Н.С., д. 20
10.229.119.25 or1-kdr-gidro67-p1 Гидростроителей, д. 67
10.229.119.24 or2-kdr-gidro67-p1 Гидростроителей, д. 67
10.229.119.114 or1-kdr-gidro67-p2 Гидростроителей, д. 67
10.229.119.23 or2-kdr-gidro67-p2 Гидростроителей, д. 67
10.229.119.26 or-kdr-gidro65-p1 Гидростроителей, д. 65
10.228.111.132 or-kdr-musorgsk1-p8 Мусоргского М.П., д. 1
10.228.111.147 or1-kdr-esenina106-p2 Сергея Есенина, д. 106
10.228.111.133 or-kdr-musorgsk1-p5 Мусоргского М.П., д. 1
10.228.111.137 or-kdr-musorgsk1-p2 Мусоргского М.П., д. 1
10.228.111.148 or1-kdr-prokof27-p1 Прокофьева С.С., д. 27
10.229.116.121 or1-kdr-chernob1-p1 Памяти Чернобыльцев, д. 1
10.229.116.120 or1-kdr-chernob1-p2 Памяти Чернобыльцев, д. 1
10.229.116.119 or1-kdr-chernob1-p3 Памяти Чернобыльцев, д. 1
10.229.120.59 or-kdr-1may298-a 1-го Мая, д. 298/к.А
10.228.111.138 or1-kdr-dunaev23-a-p1 Дунаевского И.И., д. 23/А
10.228.111.139 or1-kdr-dunaev23-a-p2 Дунаевского И.И., д. 23/А
10.228.111.131 or-kdr-prokof16-p2 Прокофьева С.С., д. 16
10.228.111.149 or1-kdr-prokof33-p1 Прокофьева С.С., д. 33
10.228.111.150 or1-kdr-prokof35-p1 Прокофьева С.С., д. 35
10.229.114.9 or1-kdr-zip48-p1 Зиповская, д. 48
10.229.114.8 or1-kdr-zip48-p2 Зиповская, д. 48
10.229.114.4 or1-kdr-zip48-p3 Зиповская, д. 48
10.229.114.170 or1-kdr-zip48-p4 Зиповская, д. 48
10.229.114.5 or1-kdr-zip48-p5 Зиповская, д. 48
10.229.114.6 or1-kdr-zip48-p6 Зиповская, д. 48
10.229.114.7 or1-kdr-zip48-p7 Зиповская, д. 48
10.229.116.219 or-kdr-poluyana18-p4 Яна Полуяна, д. 18
10.229.116.68 or-kdr-atarbekova17-p2 Атарбекова, д. 17
10.229.116.220 or-kdr-atarbekova15-p3 Атарбекова, д. 15
10.229.116.66 or-kdr-poluyana22-p5 Яна Полуяна, д. 22
10.229.116.67 or-kdr-poluyana12-p5 Яна Полуяна, д. 12
10.228.111.164 or-kdr-musorgsk6-1-p1 Мусоргского М.П., д. 6/1
10.228.111.165 or-kdr-musorgsk6-1-p2 Мусоргского М.П., д. 6/1
10.229.116.105 or-kdr-simirenko43-p1 Симиренко, д. 43
10.229.116.104 or-kdr-simirenko43-p2 Симиренко, д. 43
10.229.116.192 or-kdr-ciolk5-1-p1 Циолковского, д. 5/к.1
10.229.116.103 or-kdr-simirenko45-p1 Симиренко, д. 45
10.229.116.102 or-kdr-simirenko45-p2 Симиренко, д. 45
10.229.114.85 or-kdr-40lp33-9-p2 40-летия Победы, д. 33/к.9
10.229.114.84 or-kdr-40lp33-11-p2 40-летия Победы, д. 33/к.11
10.229.116.113 or-kdr-obraz4-1 Константина Образцова, д. 4/к.1
10.229.116.106 or-kdr-obraz4-2 Константина Образцова, д. 4/к.2
10.229.114.10 or1-kdr-zip46-p1 Зиповская, д. 46
10.229.114.11 or1-kdr-zip46-p2 Зиповская, д. 46
10.229.114.12 or1-kdr-zip46-p3 Зиповская, д. 46
10.229.114.13 or1-kdr-zip46-p4 Зиповская, д. 46
10.229.114.14 or1-kdr-zip46-p5 Зиповская, д. 46
10.229.114.179 or1-kdr-zip42-p1 Зиповская, д. 42
10.229.114.174 or1-kdr-zip42-p2 Зиповская, д. 42
10.229.114.183 or1-kdr-zip42-p3 Зиповская, д. 42
10.229.114.177 or1-kdr-zip42-p4 Зиповская, д. 42
10.229.114.175 or1-kdr-zip44-p1 Зиповская, д. 44
10.229.114.180 or1-kdr-zip44-p2 Зиповская, д. 44
10.229.114.178 or1-kdr-zip44-p3 Зиповская, д. 44
10.229.116.217 or1-kdr-repina3-p1 Репина, д. 3
10.229.116.216 or1-kdr-repina3-p2 Репина, д. 3
10.229.116.215 or1-kdr-repina3-p3 Репина, д. 3
10.229.116.205 or1-kdr-neftyanikov22-1-p1 Шоссе Нефтяников, д. 22/к.1
10.229.116.206 or2-kdr-neftyanikov22-1-p1 Шоссе Нефтяников, д. 22/к.1
10.229.116.203 or1-kdr-neftyanikov22-1-p2 Шоссе Нефтяников, д. 22/к.1
10.229.116.204 or2-kdr-neftyanikov22-1-p2 Шоссе Нефтяников, д. 22/к.1
10.229.116.201 or1-kdr-neftyanikov22-1-p3 Шоссе Нефтяников, д. 22/к.1
10.229.116.202 or2-kdr-neftyanikov22-1-p3 Шоссе Нефтяников, д. 22/к.1
10.229.116.199 or1-kdr-neftyanikov22-1-p4 Шоссе Нефтяников, д. 22/к.1
10.229.116.200 or2-kdr-neftyanikov22-1-p4 Шоссе Нефтяников, д. 22/к.1
10.229.112.30 or1-kdr-cherk62-1-p1 Черкасская, д. 62/1
10.229.112.31 or1-kdr-cherk62-1-p2 Черкасская, д. 62/1
10.229.112.32 or1-kdr-cherk62-1-p3 Черкасская, д. 62/1
10.229.112.37 or1-kdr-cherk62-1-p4 Черкасская, д. 62/1
10.229.113.96 or-kdr-sarabeeva3-1-p1 Сарабеева В.И., д. 3/1
10.229.113.97 or-kdr-sarabeeva3-1-p2 Сарабеева В.И., д. 3/1
10.229.113.98 or-kdr-sarabeeva3-1-p3 Сарабеева В.И., д. 3/1
10.229.113.99 or-kdr-sarabeeva3-1-p4 Сарабеева В.И., д. 3/1
10.229.113.93 or-kdr-sarabeeva5-p1 Сарабеева В.И., д. 5
10.229.113.95 or-kdr-sarabeeva5-p2 Сарабеева В.И., д. 5
10.229.113.94 or-kdr-sarabeeva5-p3 Сарабеева В.И., д. 5
10.229.113.100 or-kdr-sarabeeva3-p1 Сарабеева В.И., д. 3
10.229.113.101 or-kdr-sarabeeva3-p2 Сарабеева В.И., д. 3
10.229.113.102 or-kdr-sarabeeva3-p3 Сарабеева В.И., д. 3
10.229.113.75 or-kdr-sarabeeva3-p4 Сарабеева В.И., д. 3
10.229.113.86 or-kdr-sarabeeva5-2-p1 Сарабеева В.И., д. 5/к.2
10.229.113.87 or-kdr-sarabeeva5-2-p2 Сарабеева В.И., д. 5/к.2
10.229.113.85 or-kdr-sarabeeva5-2-p3 Сарабеева В.И., д. 5/к.2
10.229.113.92 or1-kdr-sarabeeva5-1-p1 Сарабеева В.И., д. 5/к.1
10.229.113.91 or1-kdr-sarabeeva5-1-p2 Сарабеева В.И., д. 5/к.1
10.229.113.90 or1-kdr-sarabeeva5-1-p3 Сарабеева В.И., д. 5/к.1
10.229.113.89 or1-kdr-sarabeeva5-1-p4 Сарабеева В.И., д. 5/к.1
10.229.113.88 or1-kdr-sarabeeva5-1-p5 Сарабеева В.И., д. 5/к.1
10.229.113.105 or1-kdr-razved12-1-p1 Героев-Разведчиков, д. 12/к.1
10.229.113.104 or1-kdr-razved12-1-p2 Героев-Разведчиков, д. 12/к.1
10.229.113.103 or1-kdr-razved12-1-p3 Героев-Разведчиков, д. 12/к.1
10.229.113.106 or1-kdr-razved12-1-1-p1 Героев-Разведчиков, д. 12/1/к.1
10.229.113.107 or1-kdr-razved12-1-1-p2 Героев-Разведчиков, д. 12/1/к.1
10.229.113.108 or1-kdr-razved12-1-1-p3 Героев-Разведчиков, д. 12/1/к.1
10.228.107.97 or1-kdr-mosk125-1-p1 Московская, д. 125/к.1
10.228.107.98 or2-kdr-mosk125-1-p1 Московская, д. 125/к.1
10.228.107.99 or1-kdr-mosk125-1-p2 Московская, д. 125/к.1
10.228.107.100 or1-kdr-mosk125-1-p3 Московская, д. 125/к.1
10.228.107.101 or2-kdr-mosk125-1-p3 Московская, д. 125/к.1
10.229.116.198 or1-kdr-repina5-p1 Репина, д. 5
10.229.116.197 or1-kdr-repina5-p2 Репина, д. 5
10.229.116.196 or1-kdr-repina5-p3 Репина, д. 5
10.229.116.195 or1-kdr-repina5-p4 Репина, д. 5
10.229.112.124 or2-kdr-40lp115-p1 40-летия Победы, д. 115
10.228.107.102 or1-kdr-mosk125-2-p1 Московская, д. 125/к.2
10.228.107.103 or2-kdr-mosk125-2-p1 Московская, д. 125/к.2
10.228.111.254 or1-kdr-mosk133-1-p2 Московская, д. 133/к.1
10.228.111.253 or1-kdr-mosk133-1-p1 Московская, д. 133/к.1
10.228.127.63 or1-kdr-mosk133-2-p1 Московская, д. 133/к.2
10.228.107.34 or1-kdr-mosk133-2-p2 Московская, д. 133/к.2
10.228.107.38 or1-kdr-mosk133-3-p1 Московская, д. 133/к.3
10.228.107.64 or1-kdr-mosk133-3-p2 Московская, д. 133/к.3
10.228.107.80 or1-kdr-mosk131-1-p1 Московская, д. 131/к.1
10.228.107.82 or2-kdr-mosk131-1-p1 Московская, д. 131/к.1
10.228.107.85 or1-kdr-mosk131-2-p1 Московская, д. 131/к.2
10.228.107.94 or2-kdr-mosk131-2-p1 Московская, д. 131/к.2
10.228.107.95 or1-kdr-mosk131-3-p1 Московская, д. 131/к.3
10.228.107.96 or2-kdr-mosk131-3-p1 Московская, д. 131/к.3
10.228.107.115 or1-kdr-metalnikova11-p1 Петра Метальникова, д. 11
10.228.107.116 or2-kdr-metalnikova11-p1 Петра Метальникова, д. 11
10.228.107.117 or1-kdr-metalnikova11-p2 Петра Метальникова, д. 11
10.228.107.118 or2-kdr-metalnikova11-p2 Петра Метальникова, д. 11
10.228.107.106 or1-kdr-metalnikova7-p1 Петра Метальникова, д. 7
10.228.107.110 or2-kdr-metalnikova7-p1 Петра Метальникова, д. 7
10.228.107.111 or1-kdr-metalnikova7-p2 Петра Метальникова, д. 7
10.228.107.119 or1-kdr-metalnikova13-p2 Петра Метальникова, д. 13
10.228.107.112 or2-kdr-metalnikova7-p2 Петра Метальникова, д. 7
10.228.107.113 or1-kdr-metalnikova7-p3 Петра Метальникова, д. 7
10.228.107.114 or2-kdr-metalnikova7-p3 Петра Метальникова, д. 7
10.228.107.120 or1-kdr-metalnikova13-p3 Петра Метальникова, д. 13
10.228.107.121 or1-kdr-metalnikova13-p4 Петра Метальникова, д. 13
10.228.107.71 or1-kdr-mosk133-4-p1 Московская, д. 133/к.4
10.228.107.73 or1-kdr-mosk133-4-p2 Московская, д. 133/к.4
10.229.124.93 or-kdr-pberez7-36-a-p1 Березовый, д. 7/к.36а
10.229.124.94 or-kdr-pberez7-36-b-p1 Березовый, д. 7/к.36б
10.229.124.95 or-kdr-pberez7-36-d-p1 Березовый, д. 7/к.36д
10.229.124.97 or-kdr-pberez7-36-g-p1 Березовый, д. 7/к.36г
10.229.124.96 or-kdr-pberez7-36-e-p1 Березовый, д. 7/к.36е
10.229.124.98 or-kdr-pberez7-36-j-p1 Березовый, д. 7/к.36ж
10.228.107.104 or1-kdr-mosk129-p1 Московская, д. 129
10.228.107.105 or1-kdr-mosk129-p2 Московская, д. 129
10.229.112.36 or-kdr-cherk129-1-p1 Черкасская, д. 129/1
10.229.112.35 or-kdr-cherk129-1-p2 Черкасская, д. 129/1
10.229.112.34 or-kdr-cherk129-1-p3 Черкасская, д. 129/1
10.229.112.33 or-kdr-cherk129-1-p4 Черкасская, д. 129/1
10.229.120.83 or1-kdr-ross79-3-1-p1 Российская, д. 79/3/к.1
10.229.120.82 or2-kdr-ross79-3-1-p1 Российская, д. 79/3/к.1
10.229.120.84 or1-kdr-ross79-3-1-p2 Российская, д. 79/3/к.1
10.229.120.86 or1-kdr-ross79-3-1-p3 Российская, д. 79/3/к.1
10.229.120.85 or2-kdr-ross79-3-1-p3 Российская, д. 79/3/к.1
10.229.120.87 or1-kdr-ross79-3-1-p4 Российская, д. 79/3/к.1
10.229.120.88 or1-kdr-ross79-3-1-p5 Российская, д. 79/3/к.1
10.229.120.89 or1-kdr-ross79-3-1-p6 Российская, д. 79/3/к.1
10.228.109.73 or-kdr-dalnjaja39-3-p3 Дальняя, д. 39/к.3
10.228.107.132 or1-kdr-morskaya45-p1 Морская, д. 45
10.228.107.133 or1-kdr-morskaya45-p2 Морская, д. 45
10.229.121.65 or1-kdr-temr71-p3 Темрюкская, д. 71
10.229.120.92 or-kdr-mosk2-1-p3 Московская, д. 2/к.1
10.229.124.105 or-kdr-pokryshk2-2-p2 Покрышкина, д. 2/к.2
10.229.122.45 or-kdr-tulae19-2-p5 Тюляева, д. 19/к.2
10.228.109.127 or-kdr-shalyapina33-p1 Шаляпина Ф.И., д. 33
10.229.120.114 or-kdr-1may186-p2 1-го Мая, д. 186
10.229.116.188 or1-kdr-neftyanikov22-2-p1 Шоссе Нефтяников, д. 22/к.2
10.229.116.187 or1-kdr-neftyanikov22-2-p2 Шоссе Нефтяников, д. 22/к.2
10.229.116.189 or2-kdr-neftyanikov22-2-p1 Шоссе Нефтяников, д. 22/к.2
10.229.116.186 or2-kdr-neftyanikov22-2-p2 Шоссе Нефтяников, д. 22/к.2
10.229.116.191 or1-kdr-neftyanikov18-1-p1 Шоссе Нефтяников, д. 18/к.1
10.229.116.190 or2-kdr-neftyanikov18-1-p1 Шоссе Нефтяников, д. 18/к.1
10.229.121.72 or1-kdr-slav65-p3 Славянская, д. 65
10.229.118.15 or-kdr-staro123-1 Старокубанская, д. 123/к.1
10.229.121.32 or-kdr-azovskaya16-p3 Азовская, д. 16
10.229.117.84 or-kdr-harkov127-p2 Харьковская, д. 127
10.229.119.71 or-kdr-ignat4-p2 Игнатова, д. 4
10.229.121.5 or-kdr-temr69-p3 Темрюкская, д. 69
10.229.121.74 or1-kdr-slav77-p2 Славянская, д. 77
10.229.119.86 or1-kdr-blago31-1-p1 Дмитрия Благоева, д. 31/к.1
10.229.119.87 or1-kdr-blago31-1-p2 Дмитрия Благоева, д. 31/к.1
10.229.119.78 or1-kdr-blago31-1-p3 Дмитрия Благоева, д. 31/к.1
10.229.119.101 or1-kdr-blago31-1-p4 Дмитрия Благоева, д. 31/к.1
10.229.119.102 or1-kdr-blago31-1-p5 Дмитрия Благоева, д. 31/к.1
10.229.119.103 or1-kdr-blago31-1-p6 Дмитрия Благоева, д. 31/к.1
10.229.119.79 or1-kdr-blago31-1-p7 Дмитрия Благоева, д. 31/к.1
10.229.119.80 or1-kdr-blago31-1-p8 Дмитрия Благоева, д. 31/к.1
10.229.119.81 or1-kdr-blago31-2-p1 Дмитрия Благоева, д. 31/к.2
10.229.119.82 or1-kdr-blago31-2-p2 Дмитрия Благоева, д. 31/к.2
10.229.119.83 or1-kdr-blago31-2-p3 Дмитрия Благоева, д. 31/к.2
10.229.119.104 or1-kdr-blago31-2-p4 Дмитрия Благоева, д. 31/к.2
10.229.119.105 or1-kdr-blago31-2-p5 Дмитрия Благоева, д. 31/к.2
10.229.119.84 or1-kdr-blago31-2-p6 Дмитрия Благоева, д. 31/к.2
10.229.119.85 or1-kdr-blago31-2-p7 Дмитрия Благоева, д. 31/к.2
10.229.119.88 or1-kdr-blago31-2-p8 Дмитрия Благоева, д. 31/к.2
10.229.112.76 or1-kdr-40lp97-1 40-летия Победы, д. 97/1
10.229.112.77 or1-kdr-40lp97-p1 40-летия Победы, д. 97
10.229.112.78 or1-kdr-40lp97-p2 40-летия Победы, д. 97
10.229.112.79 or1-kdr-40lp97-p3 40-летия Победы, д. 97
10.229.121.40 or1-kdr-slav71-p2 Славянская, д. 71
10.229.121.39 or1-kdr-krim69-p3 Крымская, д. 69
10.229.121.82 or1-kdr-temr72-p2 Темрюкская, д. 72
10.229.121.75 or1-kdr-krasnpar81-p2 Красных Партизан, д. 81
10.229.121.71 or1-kdr-lukjanenko95-4 Лукьяненко П.П., д. 95/к.4
10.229.121.66 or-kdr-krasnpar161-1-p3 Красных Партизан, д. 161/к.1
10.229.117.109 or-kdr-prom33-p2 Промышленная, д. 33
10.229.124.73 or-kdr-9tih23-p1 9-я Тихая, д. 23
10.229.124.46 or1-kdr-celino4-2-g-p2 п Целиноградская, д. 4/2/стр. Г
10.229.117.104 or1-kdr-shkolnaya15-1-p1 Школьная, д. 15/к.1
10.229.112.113 lb-kdr-razved36-p2 Героев-Разведчиков, д. 36
10.229.121.4 or1-kdr-krasnpar155-p3 Красных Партизан, д. 155
10.228.107.134 or1-kdr-dalnjaja39-2-p2 Дальняя, д. 39/к.2
10.228.107.135 or1-kdr-dalnjaja39-2-p4 Дальняя, д. 39/к.2
10.229.114.27 or-kdr-karyakina15-p2 Карякина, д. 15
10.229.120.96 or-kdr-vkrug77-p2 Восточно-Кругликовская, д. 77
10.229.121.68 or-kdr-slav69-p2 Славянская, д. 69
10.229.124.40 lb-kdr-pokryshk4-10-p1 Покрышкина, д. 4/к.10
10.229.116.110 or1-kdr-obraz6-1-p1 Константина Образцова, д. 6/к.1
10.229.116.111 or1-kdr-obraz6-1-p2 Константина Образцова, д. 6/к.1
10.229.116.112 or1-kdr-obraz6-1-p3 Константина Образцова, д. 6/к.1
10.229.116.107 or1-kdr-obraz6-2-p1 Константина Образцова, д. 6/к.2
10.229.116.108 or1-kdr-obraz6-2-p2 Константина Образцова, д. 6/к.2
10.229.116.109 or1-kdr-obraz6-2-p3 Константина Образцова, д. 6/к.2
10.228.108.252 or-kdr-agrohim113-p1 Агрохимическая, д. 113
10.229.120.80 or1-kdr-ross138-p3 Российская, д. 138
10.229.116.133 or1-kdr-turgeneva122-p3 Тургенева, д. 122
10.229.120.55 or1-kdr-vologod5-p1 Вологодская, д. 5
10.229.121.80 or-kdr-lukjanenko28-p3 Лукьяненко П.П., д. 28
10.229.112.102 or1-kdr-trosheva43-p1 Генерала Трошева Г.Н., д. 43
10.229.112.101 or1-kdr-trosheva43-p2 Генерала Трошева Г.Н., д. 43
10.229.112.89 or1-kdr-cherk141-p1 Черкасская, д. 141
10.229.112.90 or1-kdr-cherk141-p2 Черкасская, д. 141
10.229.112.91 or1-kdr-cherk141-p3 Черкасская, д. 141
10.229.112.88 or1-kdr-cherk137-p1 Черкасская, д. 137
10.229.112.87 or1-kdr-cherk137-p2 Черкасская, д. 137
10.229.124.79 or-kdr-9tih5-p3 9-я Тихая, д. 5
10.229.112.100 or1-kdr-yatskova28-p1 Яцкова И.В., д. 28
10.229.112.99 or1-kdr-yatskova28-p2 Яцкова И.В., д. 28
10.229.112.98 or1-kdr-yatskova28-p3 Яцкова И.В., д. 28
10.229.112.97 or1-kdr-yatskova28-p4 Яцкова И.В., д. 28
10.229.112.96 or1-kdr-yatskova28-p5 Яцкова И.В., д. 28
10.229.112.92 or1-kdr-yatskova28-p6 Яцкова И.В., д. 28
10.229.116.35 or1-kdr-repina1-2-2 Репина, д. 1/2/к.2
10.229.116.36 or1-kdr-repina1-2-3 Репина, д. 1/2/к.3
10.229.121.89 or1-kdr-temr74-p2 Темрюкская, д. 74
10.229.112.93 or1-kdr-trosheva47-p1 Генерала Трошева Г.Н., д. 47
10.229.112.94 or1-kdr-trosheva47-p2 Генерала Трошева Г.Н., д. 47
10.229.112.95 or1-kdr-trosheva47-p3 Генерала Трошева Г.Н., д. 47
10.229.112.80 or1-kdr-cherk135-p1 Черкасская, д. 135
10.229.112.83 or2-kdr-cherk135-p1 Черкасская, д. 135
10.229.112.84 or1-kdr-cherk135-p2 Черкасская, д. 135
10.229.112.85 or1-kdr-cherk135-p3 Черкасская, д. 135
10.229.112.86 or1-kdr-cherk135-p4 Черкасская, д. 135
10.229.112.81 or1-kdr-cherk64-p1 Черкасская, д. 64
10.229.112.82 or1-kdr-cherk64-p2 Черкасская, д. 64
10.229.114.106 or-kdr-artush3-p2 Артюшкова В.Д., д. 3
10.229.121.31 or1-kdr-slav79-a-p3 Славянская, д. 79/к.А
10.229.114.104 or-kdr-karyakina31-p1 Карякина, д. 31
10.229.114.16 or-kdr-kotlyarova19-p6 Котлярова Н.С., д. 19
10.229.116.44 or-kdr-avia18-p3 Авиагородок, д. 18
10.228.107.137 or1-kdr-korenov57-1-p1 Кореновская, д. 57/к.1
10.228.107.138 or2-kdr-korenov57-1-p1 Кореновская, д. 57/к.1
10.228.107.139 or1-kdr-korenov57-1-p2 Кореновская, д. 57/к.1
10.228.107.140 or2-kdr-korenov57-1-p2 Кореновская, д. 57/к.1
10.228.107.141 or1-kdr-korenov57-1-p3 Кореновская, д. 57/к.1
10.228.107.142 or2-kdr-korenov57-1-p3 Кореновская, д. 57/к.1
10.228.107.143 or1-kdr-korenov57-1-p4 Кореновская, д. 57/к.1
10.228.107.145 or2-kdr-korenov57-1-p4 Кореновская, д. 57/к.1
10.229.112.72 or1-kdr-posad69-p1 Владислава Посадского, д. 69
10.229.112.73 or1-kdr-posad69-p2 Владислава Посадского, д. 69
10.229.112.74 or1-kdr-posad69-p3 Владислава Посадского, д. 69
10.229.112.75 or1-kdr-posad69-p4 Владислава Посадского, д. 69
10.229.112.68 or1-kdr-cherk68-p1 Черкасская, д. 68
10.229.112.71 or1-kdr-cherk68-p2 Черкасская, д. 68
10.229.114.46 or1-kdr-kotlyarova30-p1 Котлярова Н.С., д. 30
10.229.114.45 or1-kdr-kotlyarova30-p2 Котлярова Н.С., д. 30
10.229.114.44 or1-kdr-kotlyarova30-p3 Котлярова Н.С., д. 30
10.229.114.43 or1-kdr-kotlyarova30-p4 Котлярова Н.С., д. 30
10.229.114.42 or1-kdr-artush27-p1 Артюшкова В.Д., д. 27
